No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
,Jalen Green,G,06-Apr,178,"February 9, 2002",us,2,
,Alperen ?engün,C-F,06-Sep,235,"July 25, 2002",tr,2,
,Tari Eason,F,06-Aug,216,"May 10, 2001",us,1,"Cincinnati, LSU"
,Jabari Smith Jr.,F,06-Oct,220,"May 13, 2003",us,1,Auburn
,Jae'Sean Tate,F,06-Apr,230,"October 28, 1995",us,3,Ohio State
,Kevin Porter Jr.,G,06-Apr,203,"May 4, 2000",us,4,USC
,Trevor Hudgins  (TW),G,6-0,180,"March 23, 1999",us,1,Northwest Missouri State University
,Darius Days  (TW),F,06-Jul,245,"October 20, 1999",us,1,LSU
,Cam Whitmore,F,06-Jul,232,"July 8, 2004",us,R,Villanova
,Amen Thompson,G,06-Jul,209,"January 30, 2003",us,R,
,Jeff Green,F,06-Aug,235,"August 28, 1986",us,15,Georgetown
,Jock Landale,C,06-Nov,256,"October 25, 1995",au,2,Saint Mary's
,Fred VanVleet,G,06-Jan,197,"February 25, 1994",us,7,Wichita State
,Dillon Brooks,F-G,06-Jul,225,"January 22, 1996",ca,6,Oregon
,Aaron Holiday,G,6-0,185,"September 30, 1996",us,5,UCLA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
